İLÇE,OKUL ADI,2022,2023,2024,2025 Tahmin,ALAN,OKUL TÜRÜ,2024 Hata
YENİMAHALLE (MERKEZ),Teknopark Ankara İvedik OSB Mesleki ve Teknik Anadolu Lisesi (Teknik.Bilşm),13.05,11.88,11.95,10.78 – 13.26,BİLİŞİM TEKNOLOJİLERİ ALANI,Anadolu Teknik Programı,1.2399999999999984
YENİMAHALLE (MERKEZ),Şehit Cengiz Polat Anadolu İmam Hatip Lisesi,14.23,11.26,12.35,9.38 – 17.5,FEN VE TEKNOLOJİ PROGRAMI,Hazırlık Sınıfı Bulunan Anadolu İmam Hatip Lisesi,4.059999999999997
KEÇİÖREN (MERKEZ),Keçiören Sosyal Bilimler Lisesi,11.08,12.34,12.94,12.88 – 14.2,SOSYAL BİLİMLER ,Sosyal Bilimler Lisesi,0.6600000000000001
ÇANKAYA (MERKEZ),Hasan Ali Yücel Sosyal Bilimler Lisesi,13.06,13.12,12.98,12.64 – 13.04,SOSYAL BİLİMLER ,Sosyal Bilimler Lisesi,0.1999999999999975
ALTINDAĞ (MERKEZ),Piri Reis Anadolu Lisesi,15.8,13.77,13.11,11.08 – 13.82,ANADOLU LİSESİ,Anadolu Lisesi,1.3699999999999992
MAMAK (MERKEZ),Başkent Anadolu Lisesi,13.46,13.66,13.32,12.44 – 13.52,ANADOLU LİSESİ,Anadolu Lisesi,0.5399999999999991
YENİMAHALLE (MERKEZ),Gazi Mesleki ve Teknik Anadolu Lisesi (Uçak),14.1,14.02,13.97,13.89 – 13.95,UÇAK BAKIM ALANI,Anadolu Teknik Programı,0.030000000000002913
YENİMAHALLE (MERKEZ),Teknopark Ankara İvedik OSB Mesleki ve Teknik Anadolu Lisesi (Meslek.Elektrik),0.0,16.99,14.11,8.23 – 14.23,ELEKTRİK-ELEKTRONİK TEKNOLOJİSİ ALANI (SINAVLI),Anadolu Meslek Programı,
YENİMAHALLE (MERKEZ),Gazi Mesleki ve Teknik Anadolu Lisesi (Bilişim),13.66,13.44,14.13,13.91 – 15.73,BİLİŞİM TEKNOLOJİLERİ ALANI,Anadolu Teknik Programı,0.9100000000000019
YENİMAHALLE (MERKEZ),Teknopark Ankara İvedik OSB Mesleki ve Teknik Anadolu Lisesi (Meslek.Bilşm),0.0,16.91,14.38,8.85 – 14.85,BİLİŞİM TEKNOLOJİLERİ ALANI (SINAVLI),Anadolu Meslek Programı,
YENİMAHALLE (MERKEZ),Batıkent Şehit Demet Sezen Kız Anadolu İmam Hatip Lisesi,20.39,17.99,14.46,9.8 – 12.06,FEN VE SOSYAL BİLİMLER PROGRAMI,Hazırlık Sınıfı Bulunan Anadolu İmam Hatip Lisesi,1.1299999999999955
ŞEREFLİKOÇHİSAR,Yavuz Sultan Selim Fen Lisesi,14.78,14.87,15.15,15.24 – 15.62,FEN BİLİMLERİ ALANI (FEN LİS.),Fen Lisesi,0.19000000000000128
YENİMAHALLE (MERKEZ),Gazi Mesleki ve Teknik Anadolu Lisesi (Motor),18.45,16.98,15.37,13.62 – 13.9,MOTORLU ARAÇLAR TEKNOLOJİSİ ALANI,Anadolu Teknik Programı,0.14000000000000412
ETİMESGUT (MERKEZ),Sezai Karakoç Anadolu Lisesi,15.99,15.46,15.97,15.44 – 17.52,ANADOLU LİSESİ,Anadolu Lisesi,1.0399999999999991
YENİMAHALLE (MERKEZ),Tevfik İleri Anadolu İmam Hatip Lisesi (Hafızlık),18.88,21.39,15.99,2.68 – 18.5,HAFIZLIK PROJESİ (Fen ve Sosyal Bilimler Programı),Anadolu İmam Hatip Lisesi,7.909999999999998
KEÇİÖREN (MERKEZ),Atatürk Anadolu İmam Hatip Lisesi,19.03,17.99,16.1,13.36 – 15.06,FEN VE SOSYAL BİLİMLER PROGRAMI,Anadolu İmam Hatip Lisesi,0.8499999999999908
ALTINDAĞ (MERKEZ),Sabahattin Zaim Sosyal Bilimler Lisesi,17.94,18.82,16.63,11.37 – 17.51,SOSYAL BİLİMLER ,Sosyal Bilimler Lisesi,3.070000000000004
YENİMAHALLE (MERKEZ),Teknopark Ankara İvedik OSB Mesleki ve Teknik Anadolu Lisesi (Meslek.Mak),0.0,18.15,16.64,12.13 – 18.13,MAKİNE VE TASARIM TEKNOLOJİSİ ALANI (SINAVLI),Anadolu Meslek Programı,
POLATLI,Polatlı Anadolu Lisesi,18.33,17.13,16.97,15.77 – 17.85,ANADOLU LİSESİ,Anadolu Lisesi,1.040000000000001
ÇUBUK,Şehit Ömer Takdemir Anadolu İmam Hatip Lisesi,18.7,20.27,17.71,11.02 – 19.28,FEN VE SOSYAL BİLİMLER PROGRAMI,Anadolu İmam Hatip Lisesi,4.1299999999999955
ETİMESGUT (MERKEZ),Elvanköy Borsa İstanbul Mesleki ve Teknik Anadolu Lisesi,18.87,18.15,18.3,17.58 – 19.32,BİLİŞİM TEKNOLOJİLERİ ALANI,Anadolu Teknik Programı,0.8700000000000081
KALECİK,Mehmet Doğan Fen Lisesi,16.49,16.61,18.48,18.6 – 22.1,FEN BİLİMLERİ ALANI (FEN LİS.),Fen Lisesi,1.75
ÇANKAYA (MERKEZ),Ümitköy Kız Anadolu İmam Hatip Lisesi,40.88,38.16,18.68,0 – 15.96,FEN VE SOSYAL BİLİMLER PROGRAMI,Anadolu İmam Hatip Lisesi,16.759999999999984
NALLIHAN,Bilal Güngör Fen Lisesi,18.48,18.61,18.97,19.1 – 19.56,FEN BİLİMLERİ ALANI (FEN LİS.),Fen Lisesi,0.22999999999999687
YENİMAHALLE (MERKEZ),Yenimahalle Şehit Mehmet Şengül Mesleki ve Teknik Anadolu Lisesi (Bilişim),21.41,19.96,19.45,18.0 – 19.88,BİLİŞİM TEKNOLOJİLERİ ALANI,Anadolu Teknik Programı,0.9399999999999942
ALTINDAĞ (MERKEZ),Altındağ Anadolu İmam Hatip Lisesi,20.68,20.33,19.79,19.06 – 19.44,FEN VE SOSYAL BİLİMLER PROGRAMI,Anadolu İmam Hatip Lisesi,0.18999999999999773
YENİMAHALLE (MERKEZ),Yenimahalle Şehit Mehmet Şengül Mesleki ve Teknik Anadolu Lisesi (Elekt.),26.03,22.25,19.85,16.07 – 18.83,ELEKTRİK-ELEKTRONİK TEKNOLOJİSİ ALANI,Anadolu Teknik Programı,1.379999999999999
ÇUBUK,Çubuk Yıldırım Beyazıt Anadolu Lisesi,20.7,21.79,19.9,15.03 – 20.99,ANADOLU LİSESİ,Anadolu Lisesi,2.9800000000000004
ÇANKAYA (MERKEZ),Ümitköy Anadolu İmam Hatip Lisesi,37.25,22.73,19.94,5.42 – 28.88,FEN VE SOSYAL BİLİMLER PROGRAMI,Anadolu İmam Hatip Lisesi,11.73
SİNCAN (MERKEZ),Fatih Mesleki ve Teknik Anadolu Lisesi,26.53,23.18,20.4,17.05 – 18.19,ELEKTRİK-ELEKTRONİK TEKNOLOJİSİ ALANI,Anadolu Teknik Programı,0.5699999999999967
KEÇİÖREN (MERKEZ),Keçiören İbn-i Sina Mesleki ve Teknik Anadolu Lisesi,18.97,21.13,20.99,18.55 – 23.15,SAĞLIK HİZMETLERİ ALANI,Anadolu Teknik Programı,2.299999999999997
KEÇİÖREN (MERKEZ),Şehit Ahmet Özsoy Kız Anadolu İmam Hatip Lisesi,25.82,21.24,21.19,16.61 – 25.67,FEN VE SOSYAL BİLİMLER PROGRAMI,Anadolu İmam Hatip Lisesi,4.529999999999998
YENİMAHALLE (MERKEZ),Yenimahalle Şehit Mehmet Şengül Mesleki ve Teknik Anadolu Lisesi (Makine),32.54,25.79,21.35,14.6 – 19.22,MAKİNE VE TASARIM TEKNOLOJİSİ ALANI,Anadolu Teknik Programı,2.3100000000000023
PURSAKLAR,Pursaklar Anadolu İmam Hatip Lisesi,24.52,23.32,21.45,18.91 – 20.25,FEN VE SOSYAL BİLİMLER PROGRAMI,Anadolu İmam Hatip Lisesi,0.6700000000000017
ALTINDAĞ (MERKEZ),Ankara Kız Anadolu İmam Hatip Lisesi,32.31,25.92,22.58,16.19 – 22.29,FEN VE SOSYAL BİLİMLER PROGRAMI,Anadolu İmam Hatip Lisesi,3.0499999999999936
GÜDÜL,Hasan Hüseyin Akdede Fen Lisesi,21.2,21.6,23.14,23.54 – 25.82,FEN BİLİMLERİ ALANI (FEN LİS.),Fen Lisesi,1.139999999999997
AKYURT,Yıldırım Beyazıt Anadolu Lisesi,23.47,25.64,23.21,16.18 – 25.38,ANADOLU LİSESİ,Anadolu Lisesi,4.600000000000001
GÖLBAŞI,Şehit Sebahattin Koçak Kız Anadolu İmam Hatip Lisesi,49.14,42.97,23.34,0 – 17.17,FEN VE SOSYAL BİLİMLER PROGRAMI,Anadolu İmam Hatip Lisesi,13.459999999999997
MAMAK (MERKEZ),Mamak Anadolu İmam Hatip Lisesi,28.49,25.62,24.03,21.16 – 23.72,FEN VE SOSYAL BİLİMLER PROGRAMI,Anadolu İmam Hatip Lisesi,1.2799999999999976
ELMADAĞ,Gazi Şahin Anadolu Lisesi,25.77,24.13,25.6,23.96 – 30.18,ANADOLU LİSESİ,Anadolu Lisesi,3.110000000000003
KEÇİÖREN (MERKEZ),Mustafa Asım Köksal Anadolu İmam Hatip Lisesi,33.09,30.45,26.0,19.74 – 23.36,FEN VE SOSYAL BİLİMLER PROGRAMI,Anadolu İmam Hatip Lisesi,1.8099999999999952
YENİMAHALLE (MERKEZ),Şehit Murat Üçöz Mesleki ve Teknik Anadolu Lisesi,0.0,26.43,26.15,22.87 – 28.87,YENİLENEBİLİR ENERJİ TEKNOLOJİLERİ ALANI,Anadolu Teknik Programı,
YENİMAHALLE (MERKEZ),Teknopark Ankara İvedik OSB Mesleki ve Teknik Anadolu Lisesi (Meslek.Plastk),0.0,27.21,26.54,22.87 – 28.87,PLASTİK TEKNOLOJİSİ ALANI (SINAVLI),Anadolu Meslek Programı,
YENİMAHALLE (MERKEZ),Uluslararası Prof.Dr.Muhammed Hamidullah Anadolu İmam Hatip Lisesi,26.05,25.34,26.89,26.18 – 30.7,FEN VE SOSYAL BİLİMLER PROGRAMI,Anadolu İmam Hatip Lisesi,2.2600000000000016
MAMAK (MERKEZ),Prof. Dr. Rağıp Üner Mesleki ve Teknik Anadolu Lisesi,27.3,27.02,27.77,27.49 – 29.55,SAĞLIK HİZMETLERİ ALANI,Anadolu Teknik Programı,1.0300000000000011
YENİMAHALLE (MERKEZ),Batıkent Şehit Demet Sezen Kız Anadolu İmam Hatip Lisesi,20.39,17.99,28.01,25.61 – 50.45,FEN VE SOSYAL BİLİMLER PROGRAMI,Anadolu İmam Hatip Lisesi,12.420000000000005
YENİMAHALLE (MERKEZ),Yenimahalle Zeynep-Salih Alp Mesleki ve Teknik Anadolu Lisesi,48.05,48.55,28.63,0 – 29.13,BİLİŞİM TEKNOLOJİLERİ ALANI (SINAVLI),Anadolu Meslek Programı,20.419999999999998
POLATLI,Polatlı Mesleki ve Teknik Anadolu Lisesi,35.29,34.65,31.29,25.21 – 30.65,MAKİNE VE TASARIM TEKNOLOJİSİ ALANI,Anadolu Teknik Programı,2.719999999999999
SİNCAN (MERKEZ),Sincan Anadolu İmam Hatip Lisesi,29.71,31.91,31.58,28.72 – 33.78,FEN VE SOSYAL BİLİMLER PROGRAMI,Anadolu İmam Hatip Lisesi,2.530000000000001
YENİMAHALLE (MERKEZ),Ostim Şehit Alper Zor Mesleki ve Teknik Anadolu Lisesi,40.81,35.24,31.88,26.31 – 30.73,MAKİNE VE TASARIM TEKNOLOJİSİ ALANI,Anadolu Teknik Programı,2.20999999999999
KEÇİÖREN (MERKEZ),Kanuni Mesleki ve Teknik Anadolu Lisesi,34.74,30.96,31.89,28.11 – 37.53,ELEKTRİK-ELEKTRONİK TEKNOLOJİSİ ALANI,Anadolu Teknik Programı,4.709999999999997
KIZILCAHAMAM,Bizim Anadolu Vakfı Gürcan Kız Anadolu İmam Hatip Lisesi,0.0,0.0,32.01,,FEN VE SOSYAL BİLİMLER PROGRAMI,Anadolu İmam Hatip Lisesi,
SİNCAN (MERKEZ),Şehit Özgür Can İnce Mesleki ve Teknik Anadolu Lisesi,41.24,38.2,33.42,26.9 – 30.38,MAKİNE VE TASARIM TEKNOLOJİSİ ALANI,Anadolu Teknik Programı,1.7399999999999949
ÇANKAYA (MERKEZ),Özel Harekat Şehitleri Anadolu İmam Hatip Lisesi,53.26,41.14,33.87,21.75 – 31.45,FEN VE SOSYAL BİLİMLER PROGRAMI,Anadolu İmam Hatip Lisesi,4.849999999999987
KEÇİÖREN (MERKEZ),Keçiören Anadolu İmam Hatip Lisesi,34.85,36.46,34.52,29.03 – 36.13,FEN VE SOSYAL BİLİMLER PROGRAMI,Anadolu İmam Hatip Lisesi,3.549999999999997
GÖLBAŞI,Uluslararası Millî İrade Kız Anadolu İmam Hatip Lisesi,66.01,42.89,34.89,11.77 – 42.01,FEN VE SOSYAL BİLİMLER PROGRAMI,Anadolu İmam Hatip Lisesi,15.120000000000005
YENİMAHALLE (MERKEZ),Demetevler Kız Anadolu İmam Hatip Lisesi,26.32,33.95,34.99,29.44 – 42.62,FEN VE SOSYAL BİLİMLER PROGRAMI,Anadolu İmam Hatip Lisesi,6.589999999999996
KEÇİÖREN (MERKEZ),Keçiören Borsa İstanbul Mesleki ve Teknik Anadolu Lisesi,38.06,34.97,35.18,32.09 – 38.69,BİLİŞİM TEKNOLOJİLERİ ALANI,Anadolu Teknik Programı,3.3000000000000007
SİNCAN (MERKEZ),Şehit Özgür Can İnce Mesleki ve Teknik Anadolu Lisesi,41.24,38.2,35.98,32.94 – 34.58,MOTORLU ARAÇLAR TEKNOLOJİSİ ALANI,Anadolu Teknik Programı,0.8200000000000003
ÇUBUK,Fatih Sultan Mehmet Mesleki ve Teknik Anadolu Lisesi,48.89,47.5,37.17,17.9 – 35.78,ELEKTRİK-ELEKTRONİK TEKNOLOJİSİ ALANI,Anadolu Teknik Programı,8.939999999999998
